longname,glot_fam,Longitude,Latitude
Arw.PRE_ANDINE_ARAWAKAN.ASHENINKA_PAJONAL,Arawakan,-74.25,-10.67
AA.SEMITIC.ASSYRIAN_NEO_ARAMAIC,Afro-Asiatic,41.0,36.0
Que.QUECHUAN.ATALLA,Quechuan,-74.87,-12.76
Tor.WAPEI_PALEI.AU,Nuclear_Torricelli,142.08,-3.58
NDa.AVAR_ANDIC_TSEZIC.AVAR,Nakh-Daghestanian,46.5,42.5
NDa.AVAR_ANDIC_TSEZIC.AVAR_ANDALAL,Nakh-Daghestanian,46.96,42.39
NDa.AVAR_ANDIC_TSEZIC.AVAR_ANTSUKH,Nakh-Daghestanian,46.31,42.48
NDa.AVAR_ANDIC_TSEZIC.AVAR_BATLUKH,Nakh-Daghestanian,46.35,42.56
NDa.AVAR_ANDIC_TSEZIC.AVAR_HID,Nakh-Daghestanian,46.72,42.33
NDa.AVAR_ANDIC_TSEZIC.AVAR_KARAKH,Nakh-Daghestanian,46.83,42.24
NDa.AVAR_ANDIC_TSEZIC.AVAR_KUSUR,Nakh-Daghestanian,46.86,42.06
NDa.AVAR_ANDIC_TSEZIC.AVAR_ZAKATALY,Nakh-Daghestanian,46.81,41.62
Sep.RAM.AWTUW,Sepik,142.0,-3.58
AA.BERBER.AYT_SEGHROUCHEN,Afro-Asiatic,-4.67,33.33
PN.WESTERN_PAMA_NYUNGAN.BADIMAYA,Pama-Nyungan,118.0,-27.67
CSu.BONGO_BAGIRMI.BAGIRMI,Central_Sudanic,16.0,11.67
NDa.AVAR_ANDIC_TSEZIC.BAGWALAL,Nakh-Daghestanian,46.17,42.58
An.SAMA_BAJAW.BALANGINGI_SAMA,Austronesian,121.83,6.17
IE.ROMANCE.BALEAR_CATALAN,Indo-European,2.65,39.57
An.MALAYO_SUMBAWAN.BALI,Austronesian,115.25,-8.33
Aru.ARAUAN.BANAWA,Arawan,-65.0,-7.0
An.CELEBIC.BANGGAI,Austronesian,123.17,-1.42
PN.CENTRAL_PAMA_NYUNGAN.BANGGARLA,Pama-Nyungan,137.0,-32.0
An.ENGGANO.BANJAR_SARI_ENGGANO,Austronesian,102.25,-5.42
IE.IRANIAN.BANNU_PASHTO,Indo-European,70.6,32.98
An.SANGIRIC.BANTIK,Austronesian,124.75,1.42
Arw.INLAND_NORTHERN_ARAWAKAN.BARE,Arawakan,-67.0,1.0
An.CELEBIC.BAREE,Austronesian,120.83,-1.75
Alt.TURKIC.BASHKIR,Turkic,58.0,53.0
Bas.BASQUE.BASQUE,Basque,-3.0,43.0
AA.BEJA.BEJA,Afro-Asiatic,36.0,18.0
AA.BEJA.BEJA_2,Afro-Asiatic,36.0,18.0
An.LAMPUNGIC.BELALAU_LAMPUNG_API,Austronesian,105.0,-5.0
IE.INDIC.BENGALI,Indo-European,90.0,24.0
IE.INDIC.BHOIPURI,Indo-European,84.0,26.0
IE.INDIC.BHOJPURI,Indo-European,84.0,26.0
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BIAK,Austronesian,136.05,-1.17
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.BIAK_2,Austronesian,136.05,-1.17
An.OCEANIC.BIG_NAMBAS_LEVIAMP,Austronesian,167.17,-16.09
An.OCEANIC.BIG_NAMBAS_UNMET,Austronesian,167.25,-16.15
An.CENTRAL_MALAYO_POLYNESIAN.BIMA,Austronesian,118.67,-8.5
