longname,glot_fam,81A,82A,83A,87A,88A,89A,92A,93A,nValues,97A,112A,116A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,26A,33A,37A,38A,51A,57A,69A,85A,86A,90A,90C,95A,96A,101A,144L,144P,144Q,144R,144S,70A,71A,132A,133A,134A,135A,14A,15A,16A,17A,142A,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,18A,19A,20A,21A,21B,28A,29A,35A,39A,40A,44A,48A,49A,50A,65A,66A,67A,68A,77A,78A,84A,91A,94A,98A,99A,100A,102A,103A,104A,107A,111A,113A,114A,121A,129A,130A,13A,22A,23A,24A,25A,25B,27A,30A,31A,32A,34A,36A,41A,42A,46A,47A,52A,53A,54A,55A,58A,58B,59A,60A,61A,62A,63A,64A,72A,73A,74A,75A,76A,79A,79B,80A,90B,105A,106A,108A,108B,109A,109B,110A,115A,117A,118A,119A,120A,122A,123A,124A,125A,126A,127A,128A,131A,136A,136B,137A,137B,144M,138A,39B,45A,56A,143B,144F,144E,139A,140A,143C,144O,144G,43A,144C,144T,144V,144W,144X,81B,10B,130B,144N,144U,90D,144Y,90E,141A,90F,143D,90G
TNG.EASTERN_HIGHLANDS.GAHUKU,Nuclear_Trans_New_Guinea,1,1,1,,,2,,,-169,,1,2,,,2,,,,,,,,,2,2,,,1,,2,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP.NORTH_HALMAHERAN.GALELA,North_Halmahera,,,,,,,,,-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP.NORTH_HALMAHERAN.GALELA_2,North_Halmahera,,,,,,,,,-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.ROMANCE.GALICIAN,Indo-European,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.SOUTHEASTERN_PAMA_NYUNGAN.GAMILARAAY,Pama-Nyungan,1,1,1,1,1,,1,1,-154,1,2,1,1,1,,,,1,,,,,,2,2,2,,1,,2,,,,,,,,1,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Tan.TANGKIC.GANGGALIDA,Tangkic,2,1,1,1,1,,1,1,-146,1,,1,,1,2,,,1,,,,,,2,2,,,1,,,,1,1,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,1,,,,,2,1,,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,,
Tan.TANGKIC.GANGULIDA,Tangkic,2,1,1,1,1,,1,1,-146,1,,1,,1,2,,,1,,,,,,2,2,,,1,,,,1,1,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,1,,,,,2,1,,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,,
Brs.BURUSHASKI.GANISH_HUNZA_BURUSHASKI,Burushaski,1,1,1,1,1,1,,2,-97,1,1,2,,2,,,,,,,,,,,2,2,,1,1,2,1,1,2,,1,1,2,,,,2,,1,1,,,,,1,,,1,,,2,,,2,,1,2,2,1,1,,1,1,1,1,1,,2,,,,,,,,1,1,1,,1,1,,1,,,,,,2,,1,2,1,,1,2,2,1,,,,,2,,,2,2,,,2,,1,1,2,,2,1,1,1,,,,1,1,1,,2,,2,,,,2,1,1,2,,,,,,,2,2,2,1,,,,,,1,1,2,1,1,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.GAPAPAIWA,Austronesian,1,1,1,,,2,2,2,-165,,2,1,1,1,,,,,,,,,,,,,,2,,,1,1,1,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.INDIC.GARAM_CHISHMA_KHOWAR,Indo-European,1,1,1,1,,,,,-173,1,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gar.GARRWAN.GARAWA,Garrwan,,,2,2,1,,,1,-148,,2,1,1,1,,,,,,,,,,2,,,,1,,2,2,1,,,,,,,,,,,,,,,,,2,,1,1,,,1,,1,1,1,1,2,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,2,2,2,2,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arw.CARIBBEAN_ARAWAKAN.GARIFUNA,Arawakan,,2,2,2,2,1,,,-159,,2,,1,1,,,,,,,,,,,2,,,,1,2,2,2,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
ST.BODO_GARO.GARO,Sino-Tibetan,1,1,1,2,1,2,,2,-115,2,1,2,,,2,,,,,,,,,2,,,,,,2,1,1,2,,1,1,,,,,,2,,,,,,,,,,,,2,2,,2,2,1,1,1,2,2,1,2,1,1,1,1,1,,1,,,1,,1,,2,,,,,2,2,,,,2,2,1,1,1,1,2,2,,,,,,1,2,,,,,1,,,,,1,,,1,1,,,2,,,,,,,,,1,,2,1,2,,,,1,1,1,,,,,,,,,1,1,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.MADANG.GARUS,Nuclear_Trans_New_Guinea,,,,,,,,,-179,,2,,1,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.ROMANCE.GASCON,Indo-European,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.BIU_MANDARA.GAVA,Afro-Asiatic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tup.MONDE.GAVIAO_DO_RONDONIA,Tupian,,1,1,2,1,,1,1,-165,2,,1,1,1,,,,1,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.CHIMBU.GAWIL,Nuclear_Trans_New_Guinea,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.GAWWADA,Afro-Asiatic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.GAWWADA_2,Afro-Asiatic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.GAYO,Austronesian,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijo.IJOID.GBARAIN,Ijoid,1,1,1,1,1,1,,2,-146,1,,2,,,,,,,,,,,,,2,,,1,1,2,,1,2,,,1,,,,,,,2,2,,,,,,,,,,,,2,,2,1,1,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,2,1,2,,,,,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijo.IJOID.GBARANMATU,Ijoid,1,1,1,1,1,1,,2,-146,1,,2,,,,,,,,,,,,,2,,,1,1,2,,1,2,,,1,,,,,,,2,2,,,,,,,,,,,,2,,2,1,1,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,2,1,2,,,,,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSu.KRESH.GBAYA,Kresh-Aja,2,1,2,1,,1,2,2,-163,,2,1,,1,1,,,,,,,,2,,,1,,,2,,2,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
NC.GBAYA_MANZA_NGBAKA.GBAYA_MBODOMO,Atlantic-Congo,2,1,2,1,2,2,2,,-165,,2,1,2,,1,,,,,,,,1,,1,,,,,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.GBAYA_MANZA_NGBAKA.GBEYA,Atlantic-Congo,2,1,2,1,2,2,2,2,-137,,2,1,,1,1,,,,,,,,2,2,,,1,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,2,,,,,,,,,,,1,,,2,,1,,,1,2,1,2,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,,,1,2,1,2,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,
NC.PLATOID.GBUGYAR,Atlantic-Congo,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
ST.BURMESE_LOLO.GELANGHE_AKHA,Sino-Tibetan,1,1,1,2,2,2,2,2,-160,2,,1,1,1,,,,,,,,,,1,,,,,,,1,1,2,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krt.KARTVELIAN.GEORGIAN,Kartvelian,1,1,1,1,1,1,,2,-91,1,2,,1,1,,,,,,,,,,,2,,,1,,2,1,1,1,1,1,2,,,,,1,,,,,,,,,,1,1,1,,2,,,1,,2,,,2,1,,1,1,1,1,2,,,,,2,,2,,,1,1,1,,,,,,1,,1,2,,2,,1,2,1,,1,1,2,1,,,2,,2,1,1,1,1,,2,,,1,1,,,2,1,2,1,1,,2,,1,1,,1,2,,2,,2,2,,1,2,,,,2,2,,,2,2,1,1,1,,2,2,1,1,2,2,2,1,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.SEMITIC.GETO,Afro-Asiatic,1,1,1,1,2,1,2,,-162,1,1,1,,2,,,,,,,,,,,,2,2,,2,,,1,2,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BODIC.GHACHOK,Sino-Tibetan,1,1,1,1,1,2,2,2,-162,1,1,1,,2,,,,,,,,,,,,,,,,2,1,1,2,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.EDOID.GHOTUO,Atlantic-Congo,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.BIU_MANDARA.GIDAR,Afro-Asiatic,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.NORTH_OMOTIC.GIDICHO,Ta-Ne-Omotic,,,,,,,,,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.GIKUYU,Atlantic-Congo,2,1,2,2,2,,,2,-162,,1,,,2,,,,,,,2,,,,1,,,,,,2,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.GIKUYU_2,Atlantic-Congo,2,1,2,2,2,,,2,-162,,1,,,2,,,,,,,2,,,,1,,,,,,2,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.IRANIAN.GILAKI,Indo-European,,,,1,,,,,-177,,,,,,,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.INDIC.GILGIT_GUJARI,Indo-European,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.INDIC.GILGIT_SHINA,Indo-European,1,1,1,1,1,1,,2,-163,1,2,2,1,1,,,,,,,,,,2,2,,,1,,2,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK_AMUR,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK_EAST_SAKHALIN,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK_NORTH_SAKHALIN,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK_SOUTH_SAKHALIN,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niv.NIVKH.GILYAK_WEST_SAKHALIN,Nivkh,1,1,1,1,1,,2,2,-105,1,1,1,,,,,,,,,,,,,2,,,1,1,2,1,1,2,,1,1,,,,,,,1,,,,,,2,,1,,,,2,,,1,,1,2,1,2,1,,1,1,1,,1,,2,,,1,,,,2,2,,1,,2,2,,,,1,1,1,1,1,1,2,2,,,,,,2,,1,1,1,2,2,1,1,1,,1,2,,1,,2,,,,,,,,,1,,2,1,2,2,2,,,,1,1,,2,,,,,,1,,1,1,2,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pen.TSIMSHIANIC.GITXSAN,Tsimshian,,,,1,,,2,1,-173,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESu.NILOTIC.GIUR,Nilotic,,,,2,,,,,-177,,,,1,1,,,,,,,,,,,2,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.WESTERN_PAMA_NYUNGAN.GOBABINGO,Pama-Nyungan,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.GOBEZE,Afro-Asiatic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.KRU.GODIE,Atlantic-Congo,,1,,2,2,,,,-177,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NDa.AVAR_ANDIC_TSEZIC.GODOBERI,Nakh-Daghestanian,,1,1,1,1,1,,,-153,1,1,,,,2,,,,,,,,,,2,,,1,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,2,2,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,2,,,1,2,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.WEST_CHADIC.GOEMAI,Afro-Asiatic,2,1,2,2,2,2,2,2,-168,,,1,2,,1,,,,,,,,1,1,,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS.GOGODALA.GOGODALA_ADIBA,Suki-Gogodala,1,1,1,,,,,,-179,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
