taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
Tup.TUPI_GUARANI.GUARANI,b,a,a,b,a,a,-,c,c,d,c,c,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
Gto.GUATO.GUATO,d,d,d,d,c,-,-,d,d,d,c,-,-,d,d,c,-,-,d,c,-,-,c,-,-,-,-,-
Chi.GUAYMIIC.GUAYMI,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
AA.BIU_MANDARA.GUDE,d,d,d,c,-,d,c,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
IE.INDIC.GUJARATI,a,a,-,a,a,a,-,a,-,a,a,a,-,-,a,a,a,-,-,-,-,-,a,a,-,a,-,-
CSu.BONGO_BAGIRMI.GULA_CAR,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
IE.INDIC.GULTARI_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.OCEANIC.GUMAWANA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
Gum.GUMUZ.GUMUZ,b,b,b,-,b,-,a,d,d,-,d,-,c,d,-,d,-,c,-,d,-,c,-,-,-,-,c,-
Gun.GUNWINYGIC.GUNBALANG_WARLANG,b,b,-,a,a,a,a,d,-,c,c,c,c,-,c,c,c,c,-,-,-,-,a,a,a,a,a,a
IE.INDIC.GUPIS_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.BODIC.GURUNG,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
ST.BODIC.GURUNG_WESTERN,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
NC.BANTOID.H166_KONGO_MANYANGA,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.HADIMU,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Brs.BURUSHASKI.HAIDERABAD_HUNZA_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.HALIA,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.OCEANIC.HALIA_2,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
TNG.ANGAN.HAMTAI,a,a,-,b,b,b,-,a,-,b,b,b,-,-,b,b,b,-,-,-,-,-,d,d,-,d,-,-
Sep.MIDDLE_SEPIK.HANGA_HUNDI,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
OC.COOSAN.HANIS_COOS,-,c,-,c,c,c,c,-,-,-,-,-,-,-,a,a,a,a,-,-,-,-,a,a,a,a,a,a
IE.INDIC.HARAMOSH_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
IE.INDIC.HARBAN_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
WP.HATAM.HATAM,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
AA.WEST_CHADIC.HAUSA,b,b,b,a,-,b,a,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
AA.WEST_CHADIC.HAUSA_2,b,b,b,a,-,b,a,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
AA.WEST_CHADIC.HAUSA_3,b,b,b,a,-,b,a,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
An.OCEANIC.HAWAIIAN,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
